,0
0,0.229128784747792
1,0.22912882997597742
2,0.22912896566024807
3,0.2291291917997468
4,0.2291295083930453
5,0.2291299154381436
6,0.22913041293247058
7,0.22913100087288343
8,0.2291316792556682
9,0.22913244807653932
10,0.22913330733063958
11,0.22913425701254053
12,0.22913529711624195
13,0.22913642763517209
14,0.2291376485621875
15,0.22913895988957306
16,0.22914036160904191
17,0.22914185371173545
18,0.22914343618822303
19,0.22914510902850216
20,0.22914687222199837
21,0.22914872575756517
22,0.22915066962348382
23,0.2291527038074634
24,0.22915482829664058
25,0.2291570430775799
26,0.2291593481362731
27,0.22916174345813953
28,0.2291642290280258
29,0.22916680483020585
30,0.22916947084838044
31,0.22917222706567764
32,0.2291750734646523
33,0.229178010027286
34,0.22918103673498702
35,0.22918415356859012
36,0.2291873605083565
37,0.2291906575339737
38,0.22919404462455517
39,0.22919752175864053
40,0.22920108891419524
41,0.22920474606861035
42,0.22920849319870254
43,0.22921233028071383
44,0.2292162572903116
45,0.22922027420258803
46,0.22922438099206058
47,0.22922857763267107
48,0.22923286409778615
49,0.22923724036019674
50,0.22924170639211794
51,0.229246262165189
52,0.22925090765047282
53,0.22925564281845606
54,0.22926046763904884
55,0.22926538208158445
56,0.22927038611481926
57,0.22927547970693246
58,0.2292806628255259
59,0.2292859354376238
60,0.22929129750967264
61,0.22929674900754082
62,0.22930228989651855
63,0.22930792014131743
64,0.22931363970607055
65,0.22931944855433192
66,0.22932534664907647
67,0.22933133395269958
68,0.2293374104270171
69,0.22934357603326494
70,0.22934983073209878
71,0.2293561744835939
72,0.22936260724724497
73,0.22936912898196568
74,0.22937573964608846
75,0.2293824391973644
76,0.2293892275929627
77,0.22939610478947065
78,0.22940307074289315
79,0.22941012540865258
80,0.22941726874158846
81,0.2294245006959571
82,0.2294318212254314
83,0.22943923028310048
84,0.22944672782146955
85,0.22945431379245929
86,0.2294619881474058
87,0.2294697508370603
88,0.22947760181158866
89,0.2294855410205713
90,0.2294935684130025
91,0.2295016839372905
92,0.22950988754125698
93,0.22951817917213674
94,0.22952655877657732
95,0.2295350263006388
96,0.2295435816897934
97,0.22955222488892513
98,0.22956095584232925
99,0.22956977449371252
100,0.2295786807861921
101,0.2295876746622957
102,0.22959675606396118
103,0.22960592493253593
104,0.22961518120877675
105,0.22962452483284942
106,0.22963395574432832
107,0.22964347388219603
108,0.22965307918484315
109,0.2296627715900676
110,0.22967255103507453
111,0.22968241745647575
112,0.22969237079028954
113,0.22970241097194014
114,0.22971253793625718
115,0.22972275161747585
116,0.22973305194923582
117,0.2297434388645813
118,0.22975391229596054
119,0.22976447217522547
120,0.22977511843363105
121,0.22978585100183516
122,0.22979666980989807
123,0.22980757478728206
124,0.22981856586285093
125,0.22982964296486968
126,0.22984080602100418
127,0.22985205495832028
128,0.22986338970328413
129,0.22987481018176115
130,0.22988631631901585
131,0.22989790803971133
132,0.22990958526790897
133,0.22992134792706784
134,0.2299331959400444
135,0.22994512922909188
136,0.22995714771586012
137,0.22996925132139487
138,0.22998143996613746
139,0.22999371356992435
140,0.23000607205198662
141,0.23001851533094964
142,0.23003104332483254
143,0.23004365595104778
144,0.23005635312640058
145,0.23006913476708868
146,0.23008200078870164
147,0.2300949511062207
148,0.2301079856340179
149,0.23012110428585594
150,0.23013430697488763
151,0.2301475936136554
152,0.23016096411409082
153,0.230174418387514
154,0.23018795634463346
155,0.23020157789554543
156,0.23021528294973326
157,0.2302290714160672
158,0.23024294320280375
159,0.23025689821758527
160,0.2302709363674394
161,0.23028505755877865
162,0.23029926169739998
163,0.23031354868848414
164,0.23032791843659525
165,0.23034237084568054
166,0.23035690581906948
167,0.2303715232594734
168,0.2303862230689853
169,0.230401005149079
170,0.23041586940060868
171,0.23043081572380864
172,0.23044584401829266
173,0.23046095418305323
174,0.2304761461164616
175,0.23049141971626677
176,0.2305067748795954
177,0.2305222115029509
178,0.23053772948221335
179,0.23055332871263862
180,0.2305690090888582
181,0.23058477050487838
182,0.23060061285408004
183,0.23061653602921794
184,0.23063253992242028
185,0.23064862442518824
186,0.23066478942839533
187,0.2306810348222872
188,0.23069736049648054
189,0.23071376633996346
190,0.23073025224109403
191,0.2307468180876004
192,0.23076346376658008
193,0.23078018916449952
194,0.23079699416719351
195,0.23081387865986458
196,0.23083084252708277
197,0.23084788565278494
198,0.23086500792027415
199,0.2308822092122194
200,0.23089948941065505
201,0.23091684839698018
202,0.23093428605195815
203,0.23095180225571618
204,0.23096939688774473
205,0.2309870698268971
206,0.2310048209513888
207,0.23102265013879703
208,0.23104055726606046
209,0.2310585422094782
210,0.23107660484470982
211,0.23109474504677474
212,0.23111296269005124
213,0.23113125764827666
214,0.2311496297945464
215,0.2311680790013136
216,0.23118660514038866
217,0.23120520808293873
218,0.23122388769948712
219,0.23124264385991283
220,0.2312614764334502
